industry,real_time_requirement,data_volume,latency,security_concern,wireless_wired,energy_constraint,protocol
Energy,Low,Medium,High,Low,Wireless,High,LoRaWAN
Retail,Medium,High,High,High,Wireless,High,HTTPS
Energy,Low,Low,High,Low,Wired,Low,HTTPS
Transportation,High,Medium,Low,High,Wired,Medium,OPC UA
Agriculture,High,Low,Low,High,Wireless,Medium,OPC UA
Retail,Low,High,Medium,Low,Wireless,High,LoRaWAN
Agriculture,Low,Low,Medium,High,Wireless,Low,HTTPS
Manufacturing,High,Low,High,Low,Wired,Low,PROFINET
Retail,Medium,Low,High,Medium,Wired,Medium,LoRaWAN
Manufacturing,Low,Low,High,Low,Wireless,High,LoRaWAN
Energy,Medium,High,High,Medium,Wireless,Low,MQTT
Agriculture,High,Medium,High,Medium,Wireless,Low,OPC UA
Healthcare,High,Low,High,High,Wireless,Low,HTTPS
Energy,Medium,Medium,High,Medium,Wired,Low,MQTT
Agriculture,Medium,Low,Low,Low,Wireless,High,EtherCAT
Healthcare,Low,High,Medium,Medium,Wired,High,PROFINET
Transportation,High,Medium,Medium,High,Wireless,High,HTTPS
Energy,Medium,High,Low,Low,Wired,Low,PROFINET
Manufacturing,High,High,High,High,Wireless,High,MQTT
Agriculture,Low,High,Low,Low,Wireless,Medium,EtherCAT
Energy,Low,High,Low,High,Wireless,Low,EtherCAT
Healthcare,Medium,Low,High,High,Wireless,High,HTTPS
Agriculture,Medium,High,Medium,Low,Wired,High,PROFINET
Retail,Low,Medium,Medium,Medium,Wireless,Medium,OPC UA
Healthcare,Low,Low,Medium,High,Wired,Medium,OPC UA
Transportation,Medium,Medium,Medium,Low,Wired,High,OPC UA
Energy,High,Low,High,Medium,Wireless,Medium,LoRaWAN
Retail,Low,High,Low,High,Wireless,Medium,PROFINET
Transportation,Low,High,Medium,Medium,Wireless,Low,OPC UA
Energy,High,Low,Medium,Medium,Wireless,High,HTTPS
Manufacturing,Low,Low,Low,Medium,Wired,Low,MQTT
Retail,Low,Low,Low,High,Wired,High,LoRaWAN
Healthcare,Low,Medium,High,Medium,Wired,High,PROFINET
Retail,Low,Medium,High,High,Wireless,High,LoRaWAN
Manufacturing,High,Medium,High,Low,Wired,Medium,HTTPS
Retail,Medium,High,Low,Medium,Wired,Low,PROFINET
Transportation,Low,High,Medium,Low,Wired,High,PROFINET
Healthcare,High,Medium,Medium,Low,Wired,High,EtherCAT
Energy,Medium,High,High,High,Wired,Low,PROFINET
Manufacturing,High,Medium,High,High,Wireless,High,OPC UA
Retail,Low,Medium,Low,Medium,Wired,High,LoRaWAN
Healthcare,Medium,High,Low,High,Wired,Medium,PROFINET
Retail,Low,High,Low,Low,Wireless,High,LoRaWAN
Transportation,Low,Medium,High,High,Wireless,Low,PROFINET
Retail,High,Medium,High,High,Wired,Medium,HTTPS
Healthcare,High,Medium,Low,Low,Wired,High,EtherCAT
Healthcare,Medium,High,High,Low,Wired,High,PROFINET
Agriculture,Low,Medium,Low,High,Wired,Medium,OPC UA
Agriculture,Medium,Medium,High,High,Wireless,Low,MQTT
Agriculture,Medium,Low,Low,Low,Wireless,Low,MQTT
Energy,High,Low,High,Low,Wired,Medium,OPC UA
Manufacturing,Low,Medium,Low,Medium,Wireless,Medium,MQTT
Retail,Low,Medium,Low,High,Wired,High,MQTT
Manufacturing,High,Medium,High,High,Wired,Low,MQTT
Healthcare,Low,Medium,Low,High,Wired,High,LoRaWAN
Transportation,Medium,High,Low,High,Wireless,Low,MQTT
Healthcare,High,Medium,Medium,High,Wired,Medium,MQTT
Agriculture,Medium,High,Low,Medium,Wired,Medium,PROFINET
Manufacturing,High,High,High,Low,Wired,Low,PROFINET
Transportation,High,Medium,Low,Medium,Wired,Medium,EtherCAT
Healthcare,Low,Medium,Low,Low,Wired,Low,HTTPS
Manufacturing,High,Medium,Medium,Low,Wireless,High,PROFINET
Agriculture,High,High,High,High,Wireless,High,OPC UA
Retail,Low,Medium,Medium,Low,Wired,High,PROFINET
Retail,High,High,Medium,Low,Wired,Medium,PROFINET
Healthcare,Medium,Medium,Low,High,Wired,Medium,HTTPS
Energy,High,Medium,High,High,Wireless,Low,PROFINET
Energy,High,High,Low,Medium,Wireless,High,EtherCAT
Agriculture,Medium,Medium,Medium,Medium,Wireless,High,PROFINET
Retail,High,High,Low,Medium,Wireless,High,EtherCAT
Manufacturing,Medium,High,Medium,High,Wireless,Medium,HTTPS
Agriculture,Medium,Low,Low,High,Wireless,Medium,HTTPS
Energy,High,High,Low,Medium,Wired,High,EtherCAT
Transportation,High,Low,High,Low,Wired,Medium,HTTPS
Energy,High,High,High,Medium,Wireless,Low,PROFINET
Healthcare,Medium,Low,High,High,Wireless,Medium,HTTPS
Healthcare,High,Medium,Low,Low,Wireless,Medium,EtherCAT
Retail,Medium,High,High,Medium,Wired,Medium,PROFINET
Healthcare,Low,Medium,High,Medium,Wireless,Low,PROFINET
Transportation,High,Low,Low,Low,Wired,Low,EtherCAT
Healthcare,High,Medium,Medium,High,Wireless,High,PROFINET
Manufacturing,High,Low,Medium,Low,Wireless,Low,MQTT
Transportation,Low,Low,High,High,Wired,Low,PROFINET
Manufacturing,High,High,Low,Medium,Wireless,Low,EtherCAT
Healthcare,Medium,Medium,Medium,Medium,Wired,Medium,OPC UA
Agriculture,High,Low,Low,High,Wired,Low,OPC UA
Manufacturing,Medium,High,Medium,Medium,Wired,Medium,PROFINET
Healthcare,Medium,Low,High,Medium,Wired,Low,MQTT
Energy,Medium,Low,High,Medium,Wired,High,HTTPS
Retail,Medium,High,Low,Medium,Wired,High,PROFINET
Healthcare,Low,Medium,High,High,Wireless,High,LoRaWAN
Retail,Medium,Medium,High,Medium,Wireless,Low,MQTT
Manufacturing,High,Low,Low,High,Wireless,High,OPC UA
Manufacturing,Low,Medium,Low,Medium,Wireless,High,LoRaWAN
Transportation,Medium,Low,High,High,Wired,High,HTTPS
Manufacturing,Medium,High,Medium,Medium,Wireless,High,HTTPS
Transportation,High,Low,Medium,Low,Wired,High,HTTPS
Transportation,Medium,Low,High,Low,Wired,High,EtherCAT
Agriculture,High,Medium,Low,High,Wireless,Medium,OPC UA
Energy,High,Low,Low,High,Wireless,Medium,OPC UA
Healthcare,High,Medium,Low,Medium,Wired,Medium,EtherCAT
Agriculture,Medium,Low,Medium,Medium,Wireless,Low,MQTT
Healthcare,Low,Medium,Low,Medium,Wired,High,EtherCAT
Healthcare,Medium,Medium,High,Medium,Wired,High,EtherCAT
Retail,High,High,High,Low,Wired,High,PROFINET
Healthcare,Medium,High,High,Medium,Wireless,Low,MQTT
Agriculture,Medium,High,Low,Medium,Wireless,Low,MQTT
Energy,Low,High,High,High,Wireless,Low,LoRaWAN
Energy,Low,Low,Low,Medium,Wired,Medium,OPC UA
Retail,Medium,Low,Medium,Low,Wired,Low,MQTT
Manufacturing,Low,Medium,Low,Low,Wired,High,PROFINET
Energy,Medium,High,Medium,Low,Wireless,Low,MQTT
Retail,High,Low,Medium,Medium,Wired,Low,HTTPS
Manufacturing,Medium,Medium,Low,Low,Wired,Medium,PROFINET
Transportation,Medium,Low,Low,Low,Wireless,Medium,EtherCAT
Energy,Low,Medium,Low,High,Wireless,Medium,PROFINET
Healthcare,High,High,High,High,Wired,High,PROFINET
Transportation,Medium,High,Medium,High,Wireless,High,HTTPS
Agriculture,Medium,High,Low,Medium,Wireless,Medium,LoRaWAN
Transportation,High,High,Low,Medium,Wireless,High,EtherCAT
Retail,Low,Low,Low,Low,Wired,Medium,PROFINET
Manufacturing,Medium,Low,Low,High,Wired,Low,MQTT
Transportation,Medium,Low,High,Low,Wireless,Medium,EtherCAT
Energy,Medium,Low,Medium,Medium,Wireless,High,OPC UA
Retail,High,Medium,High,Low,Wired,Medium,HTTPS
Agriculture,Medium,Medium,Low,Medium,Wireless,High,PROFINET
Manufacturing,High,High,Medium,Low,Wired,Low,PROFINET
Transportation,Medium,High,High,High,Wired,Medium,PROFINET
Healthcare,High,Low,High,High,Wired,Medium,MQTT
Retail,Medium,Low,Low,High,Wired,Medium,HTTPS
Healthcare,Low,Low,Low,Low,Wired,Medium,MQTT
Manufacturing,Medium,Low,Low,Low,Wired,High,EtherCAT
Manufacturing,High,Low,High,Low,Wired,Low,LoRaWAN
Retail,Low,Medium,Medium,Low,Wired,High,OPC UA
Healthcare,Low,Low,High,High,Wireless,Medium,LoRaWAN
Healthcare,Medium,Low,Low,Medium,Wired,High,EtherCAT
Healthcare,Low,Low,Medium,Medium,Wired,High,OPC UA
Manufacturing,High,Low,Low,High,Wired,High,OPC UA
Transportation,Medium,Medium,Low,Low,Wired,High,MQTT
Retail,Medium,High,Low,Low,Wireless,Medium,OPC UA
Manufacturing,Medium,High,Medium,Low,Wired,Medium,PROFINET
Agriculture,Medium,High,Low,High,Wireless,Medium,HTTPS
Transportation,Low,High,Medium,Medium,Wired,Low,PROFINET
Energy,High,Low,Medium,Low,Wireless,Medium,EtherCAT
Transportation,High,Medium,High,High,Wired,High,MQTT
Manufacturing,Low,High,Low,Medium,Wireless,Low,MQTT
Agriculture,High,Medium,Low,High,Wireless,High,OPC UA
Agriculture,High,Medium,Low,Medium,Wireless,High,EtherCAT
Agriculture,High,Low,High,High,Wireless,Medium,EtherCAT
Healthcare,High,High,Medium,High,Wireless,Medium,EtherCAT
Healthcare,Low,Low,High,High,Wired,Low,HTTPS
Energy,Low,Medium,Medium,High,Wired,Medium,LoRaWAN
Energy,Medium,Medium,Low,Low,Wireless,Low,MQTT
Transportation,Low,High,Medium,Medium,Wireless,Medium,OPC UA
Healthcare,Medium,Low,High,Low,Wireless,Medium,PROFINET
Agriculture,Low,Medium,High,High,Wireless,High,LoRaWAN
Retail,High,Low,Medium,Medium,Wireless,Low,OPC UA
Energy,High,Medium,Medium,Medium,Wired,High,OPC UA
Manufacturing,High,High,High,Low,Wireless,Low,HTTPS
Transportation,Low,Low,Medium,Medium,Wired,High,LoRaWAN
Agriculture,Medium,Medium,High,Low,Wired,Low,MQTT
Manufacturing,Medium,Medium,Low,Low,Wired,Low,MQTT
Agriculture,Medium,Low,Medium,Low,Wireless,Medium,LoRaWAN
Manufacturing,Medium,Medium,Low,Low,Wired,Low,MQTT
Retail,High,Low,Medium,Low,Wireless,Low,MQTT
Agriculture,Medium,Medium,High,Medium,Wireless,High,MQTT
Manufacturing,Low,Medium,Medium,High,Wireless,Medium,PROFINET
Healthcare,Low,High,Low,High,Wired,Low,PROFINET
Transportation,Low,Medium,Low,High,Wired,Low,HTTPS
Manufacturing,Medium,High,Low,Low,Wireless,High,EtherCAT
Transportation,Low,High,High,High,Wired,Low,PROFINET
Retail,High,High,High,High,Wireless,High,OPC UA
Transportation,Low,Medium,Low,High,Wireless,Low,PROFINET
Retail,Medium,High,Low,High,Wired,Medium,PROFINET
Healthcare,High,Medium,Medium,High,Wireless,Medium,LoRaWAN
Agriculture,High,Medium,Low,Low,Wireless,Low,EtherCAT
Transportation,Medium,High,Medium,Medium,Wired,Medium,PROFINET
Healthcare,Medium,Low,Medium,High,Wireless,Low,MQTT
Manufacturing,High,Low,High,High,Wireless,Medium,PROFINET
Agriculture,High,Low,Medium,Low,Wireless,Medium,OPC UA
Manufacturing,High,High,Low,High,Wireless,High,OPC UA
Manufacturing,Medium,High,Low,Medium,Wired,Medium,PROFINET
Transportation,High,High,Low,Medium,Wired,Low,EtherCAT
Transportation,Medium,Low,Medium,High,Wired,Medium,HTTPS
Manufacturing,Low,High,High,Low,Wireless,Low,HTTPS
Retail,High,High,High,Low,Wireless,Medium,EtherCAT
Transportation,High,High,Medium,High,Wired,Low,PROFINET
Manufacturing,Medium,High,Medium,Medium,Wireless,Low,MQTT
Healthcare,Low,Low,High,Low,Wireless,High,LoRaWAN
Energy,Medium,Low,Medium,Low,Wired,Medium,PROFINET
Healthcare,High,Medium,Medium,Low,Wired,Low,MQTT
Agriculture,Medium,Medium,High,High,Wired,High,HTTPS
Retail,Medium,Medium,Low,Medium,Wireless,Medium,LoRaWAN
Agriculture,High,High,Medium,Low,Wired,Low,PROFINET
Energy,Low,Low,High,High,Wireless,High,LoRaWAN
Energy,Medium,High,Low,Low,Wireless,High,PROFINET
Manufacturing,High,Low,Medium,High,Wired,High,LoRaWAN
Agriculture,Medium,High,High,Medium,Wired,High,PROFINET
Manufacturing,High,Low,Medium,High,Wired,High,LoRaWAN
Transportation,Medium,Low,Low,High,Wireless,High,HTTPS
Agriculture,Low,Medium,Low,High,Wireless,Medium,OPC UA
Energy,Medium,Low,High,Low,Wireless,High,LoRaWAN
Agriculture,High,Medium,Low,Medium,Wireless,High,EtherCAT
Healthcare,Low,Low,Low,Low,Wired,High,LoRaWAN
Manufacturing,Medium,Medium,High,High,Wired,Medium,HTTPS
Energy,Medium,High,Low,High,Wireless,Low,MQTT
Retail,Low,Medium,Low,Medium,Wired,Low,MQTT
Transportation,High,High,Low,Medium,Wired,High,EtherCAT
Retail,High,High,High,Medium,Wired,Medium,PROFINET
Manufacturing,Medium,High,High,High,Wireless,High,HTTPS
Transportation,Medium,High,Medium,High,Wired,Low,PROFINET
Transportation,Medium,High,Medium,Medium,Wired,Medium,PROFINET
Manufacturing,Medium,Low,Low,High,Wired,Low,MQTT
Retail,Medium,Medium,Low,Medium,Wired,High,LoRaWAN
Manufacturing,High,High,High,Medium,Wireless,Low,HTTPS
Manufacturing,Medium,High,High,Medium,Wired,Low,PROFINET
Healthcare,High,High,Low,Medium,Wired,Medium,EtherCAT
Energy,High,Medium,Medium,Low,Wireless,Medium,PROFINET
Energy,Low,Low,Medium,Medium,Wireless,Medium,LoRaWAN
Manufacturing,High,Medium,Low,Medium,Wired,Low,EtherCAT
Agriculture,Medium,Low,Medium,Low,Wired,Medium,MQTT
Transportation,Low,Low,Low,High,Wireless,High,LoRaWAN
Agriculture,High,High,High,High,Wireless,Low,PROFINET
Agriculture,Low,Low,Medium,High,Wireless,High,LoRaWAN
Transportation,Medium,High,Low,Low,Wireless,High,OPC UA
Manufacturing,High,Low,Medium,High,Wireless,Medium,HTTPS
Energy,Medium,Medium,High,Low,Wireless,Medium,MQTT
Energy,Low,High,Medium,Low,Wired,High,PROFINET
Manufacturing,Medium,Low,Medium,High,Wireless,Medium,HTTPS
Manufacturing,Low,Low,High,High,Wired,Low,MQTT
Agriculture,Medium,Medium,Low,Low,Wired,High,MQTT
Agriculture,Low,High,High,Low,Wireless,High,LoRaWAN
Energy,Medium,Low,Medium,Medium,Wired,Medium,PROFINET
Manufacturing,Medium,Low,High,High,Wireless,Medium,HTTPS
Retail,High,Low,Medium,Low,Wireless,Medium,OPC UA
Manufacturing,Medium,Low,Medium,High,Wired,Medium,HTTPS
Healthcare,Medium,High,High,Low,Wireless,Medium,OPC UA
Agriculture,Low,Medium,High,Medium,Wired,Low,PROFINET
Healthcare,Low,Low,High,High,Wired,Medium,PROFINET
Energy,Medium,Low,High,High,Wired,Medium,HTTPS
Transportation,Medium,Medium,Low,Medium,Wireless,Medium,EtherCAT
Transportation,High,Low,Medium,High,Wired,High,PROFINET
Energy,Low,Low,Medium,High,Wireless,Low,OPC UA
Healthcare,Medium,Medium,Low,Medium,Wired,Medium,PROFINET
Healthcare,High,High,Medium,Low,Wireless,High,EtherCAT
Manufacturing,Low,Low,High,Low,Wireless,Low,LoRaWAN
Agriculture,Low,Medium,Low,Low,Wireless,Low,HTTPS
Energy,Low,High,High,High,Wired,Low,PROFINET
Transportation,High,Low,Medium,High,Wireless,High,EtherCAT
Manufacturing,Low,Low,Low,High,Wired,High,LoRaWAN
Agriculture,Medium,Medium,High,Medium,Wireless,High,PROFINET
Transportation,Medium,Medium,Medium,High,Wireless,Medium,HTTPS
Transportation,High,Medium,High,High,Wireless,High,EtherCAT
Transportation,Medium,Low,Medium,High,Wireless,Medium,HTTPS
Agriculture,Medium,High,Low,High,Wired,Medium,PROFINET
Energy,High,Medium,Medium,Low,Wired,High,OPC UA
Transportation,Low,High,Medium,Low,Wired,Medium,PROFINET
Transportation,High,Medium,Low,High,Wireless,High,OPC UA
Healthcare,Low,Low,Low,Low,Wireless,High,LoRaWAN
Agriculture,Low,Medium,Medium,Low,Wireless,Low,HTTPS
Energy,High,Medium,High,Medium,Wireless,Low,MQTT
Transportation,High,Medium,Medium,High,Wireless,High,HTTPS
Energy,Medium,Medium,Medium,Medium,Wireless,High,PROFINET
Healthcare,Medium,High,High,High,Wireless,Medium,HTTPS
Retail,Medium,Medium,Medium,Low,Wired,Low,MQTT
Manufacturing,High,High,Medium,Low,Wired,High,PROFINET
Retail,Medium,Medium,High,High,Wired,High,HTTPS
Retail,Medium,Medium,Medium,Medium,Wired,Medium,MQTT
Healthcare,Low,High,Medium,Medium,Wireless,Low,EtherCAT
Transportation,Low,Low,Low,Medium,Wired,Low,OPC UA
Retail,High,Medium,Low,High,Wired,Low,OPC UA
Retail,Medium,Medium,High,Medium,Wireless,Low,MQTT
Healthcare,High,Low,High,High,Wireless,High,LoRaWAN
Manufacturing,Low,Low,Medium,Medium,Wired,Medium,MQTT
Manufacturing,Medium,Low,Medium,Low,Wireless,Low,MQTT
Retail,Low,Medium,Low,Low,Wired,Medium,LoRaWAN
Transportation,Low,Medium,Low,High,Wireless,Medium,HTTPS
Energy,Medium,Medium,Medium,High,Wireless,Medium,HTTPS
Transportation,High,Low,Low,High,Wireless,Low,OPC UA
Retail,Low,High,Low,Low,Wired,Low,PROFINET
Transportation,Medium,Medium,Medium,Low,Wired,High,OPC UA
Energy,Low,Low,Low,Low,Wired,Low,OPC UA
Transportation,Low,High,High,Low,Wired,Medium,PROFINET
Energy,Medium,Medium,Low,Low,Wireless,Low,MQTT
Retail,High,Low,Low,Medium,Wireless,Low,EtherCAT
Energy,Low,Low,High,Medium,Wireless,Low,LoRaWAN
Transportation,High,High,Medium,High,Wired,Medium,PROFINET
Energy,Low,High,High,High,Wired,Medium,PROFINET
Manufacturing,High,Low,Low,Low,Wireless,High,EtherCAT
Manufacturing,Medium,High,Medium,Low,Wireless,Low,MQTT
Manufacturing,Medium,High,High,Medium,Wired,High,PROFINET
Retail,Low,Low,High,High,Wireless,Low,OPC UA
Transportation,Low,High,Medium,High,Wired,High,PROFINET
Healthcare,High,Medium,High,Low,Wired,Medium,PROFINET
Healthcare,Medium,Medium,High,High,Wired,Low,MQTT
Retail,Low,Low,Medium,Medium,Wireless,Medium,MQTT
Energy,Low,High,Low,Low,Wireless,Medium,OPC UA
Healthcare,Low,High,Medium,Medium,Wireless,High,LoRaWAN
Energy,Medium,Low,Medium,Medium,Wired,Medium,OPC UA
Energy,High,High,High,Medium,Wireless,High,HTTPS
Agriculture,High,High,Medium,High,Wired,High,PROFINET
Manufacturing,Medium,Low,High,High,Wired,Low,MQTT
Energy,High,Medium,Low,Low,Wired,High,EtherCAT
Manufacturing,Low,Low,High,Low,Wireless,Medium,HTTPS
Healthcare,Medium,Medium,Medium,High,Wireless,High,HTTPS
Transportation,Medium,High,Medium,Medium,Wired,Medium,PROFINET
Healthcare,High,Low,Medium,Medium,Wired,Medium,LoRaWAN
Retail,Low,High,Low,Low,Wireless,Low,LoRaWAN
Energy,Medium,High,Low,Low,Wireless,Medium,PROFINET
Agriculture,High,Low,Medium,Medium,Wireless,Medium,OPC UA
Transportation,Medium,Low,Medium,Low,Wireless,High,LoRaWAN
Healthcare,Medium,High,Medium,Low,Wireless,Medium,OPC UA
Agriculture,Low,High,Medium,High,Wireless,Low,MQTT
Manufacturing,High,High,Medium,Medium,Wireless,Low,PROFINET
Energy,Medium,High,High,High,Wired,Low,PROFINET
Healthcare,Low,Medium,Low,High,Wireless,Low,MQTT
Energy,Low,High,Low,Low,Wireless,High,LoRaWAN
Agriculture,Medium,Medium,Low,High,Wireless,Medium,HTTPS
Retail,Medium,Low,Medium,High,Wireless,Low,MQTT
Manufacturing,High,Low,Medium,High,Wireless,Low,LoRaWAN
Energy,Low,Low,Low,Medium,Wired,High,MQTT
Healthcare,High,Medium,High,Low,Wireless,Low,MQTT
Healthcare,Low,High,Medium,Medium,Wired,Low,PROFINET
Agriculture,Medium,High,Medium,Medium,Wireless,Medium,OPC UA
Retail,Low,High,High,Medium,Wireless,Low,LoRaWAN
Retail,High,Low,Low,High,Wired,Medium,OPC UA
Agriculture,Medium,Low,High,Low,Wireless,Low,MQTT
Healthcare,High,Medium,Low,Low,Wireless,Low,EtherCAT
Healthcare,Medium,Medium,Low,Low,Wireless,Low,MQTT
Retail,Medium,Low,Low,Medium,Wired,Low,MQTT
Energy,Low,Low,High,Low,Wired,Low,OPC UA
Manufacturing,High,High,Low,Medium,Wireless,Low,EtherCAT
Manufacturing,High,High,High,High,Wireless,High,PROFINET
