industry,data_volume,latency_requirement,connectivity_type,security_requirement,data_analytics_requirement,deployment_environment,technology
Manufacturing,Medium,Medium,Wired,Medium,No,Edge,Edge Computing
Retail,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,High,High,Wireless,Low,No,On-Premise,Edge Computing
Transportation,High,High,Wired,High,No,Cloud,SCADA
Manufacturing,High,Low,Wired,Low,Yes,Cloud,OPC UA
Agriculture,Low,Medium,Wireless,High,Yes,Cloud,Blockchain
Retail,Medium,Medium,Wired,Low,No,Edge,Edge Computing
Manufacturing,High,High,Wired,Low,Yes,On-Premise,AI/ML
Manufacturing,Medium,Low,Wireless,Low,Yes,On-Premise,OPC UA
Transportation,High,High,Wired,Medium,Yes,Cloud,AI/ML
Healthcare,Low,Medium,Wireless,High,No,Cloud,Blockchain
Retail,Medium,Low,Wired,Low,Yes,Cloud,SCADA
Healthcare,Medium,Low,Wireless,Low,Yes,On-Premise,PLCs
Agriculture,High,High,Wireless,Medium,No,Cloud,Blockchain
Energy,High,Low,Wired,High,No,Cloud,SCADA
Agriculture,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Agriculture,High,High,Wired,Low,No,Edge,Blockchain
Transportation,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Manufacturing,Low,Low,Wired,High,No,On-Premise,SCADA
Healthcare,Low,Medium,Wireless,Low,Yes,Cloud,MQTT
Healthcare,Low,High,Wired,Low,No,Edge,Cloud Computing
Transportation,High,Medium,Wireless,High,Yes,Edge,MQTT
Transportation,Medium,High,Wired,High,No,Cloud,Cloud Computing
Energy,Medium,Low,Wireless,Low,Yes,Cloud,OPC UA
Retail,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Retail,Low,High,Wired,High,Yes,On-Premise,Blockchain
Transportation,Low,Medium,Wireless,Medium,Yes,Edge,AI/ML
Retail,Medium,High,Wired,High,No,Edge,Edge Computing
Agriculture,Low,High,Wireless,High,No,Cloud,OPC UA
Manufacturing,Medium,Medium,Wireless,Low,Yes,On-Premise,OPC UA
Energy,Medium,Low,Wired,High,Yes,Cloud,SCADA
Transportation,Medium,Medium,Wired,Low,Yes,Edge,Edge Computing
Transportation,High,Medium,Wireless,Medium,Yes,On-Premise,MQTT
Energy,Low,High,Wired,Medium,No,Edge,Cloud Computing
Transportation,Low,High,Wired,Low,Yes,Edge,Blockchain
Transportation,High,Low,Wireless,Medium,No,Cloud,PLCs
Manufacturing,High,Medium,Wireless,High,Yes,Cloud,AI/ML
Manufacturing,High,High,Wireless,Medium,Yes,Cloud,AI/ML
Transportation,Low,Low,Wired,Medium,No,On-Premise,SCADA
Manufacturing,Low,Low,Wireless,High,Yes,On-Premise,SCADA
Energy,Low,Low,Wired,High,Yes,Cloud,SCADA
Agriculture,Medium,Medium,Wired,Medium,Yes,On-Premise,PLCs
Manufacturing,Low,Medium,Wired,Medium,Yes,Edge,Blockchain
Retail,High,Medium,Wired,Medium,No,Cloud,Blockchain
Agriculture,High,Low,Wired,Low,Yes,On-Premise,SCADA
Manufacturing,Low,High,Wired,Low,Yes,On-Premise,Cloud Computing
Agriculture,High,High,Wireless,High,Yes,Edge,SCADA
Energy,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,Low,High,Wired,High,No,Cloud,OPC UA
Retail,High,Medium,Wired,Medium,No,Cloud,AI/ML
Healthcare,Medium,High,Wireless,Low,No,On-Premise,SCADA
Energy,Low,Medium,Wireless,High,Yes,Edge,SCADA
Energy,High,Medium,Wired,High,No,Edge,Blockchain
Healthcare,Medium,High,Wired,Low,No,On-Premise,Blockchain
Agriculture,Low,Low,Wired,Low,No,Cloud,SCADA
Energy,Medium,High,Wired,High,Yes,On-Premise,MQTT
Transportation,Low,Medium,Wireless,Medium,No,Edge,OPC UA
Agriculture,Medium,High,Wired,Medium,No,Cloud,AI/ML
Healthcare,High,Low,Wireless,Low,No,Cloud,Blockchain
Manufacturing,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Retail,Low,High,Wired,Low,Yes,On-Premise,MQTT
Energy,Medium,High,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,Low,High,Wired,Low,Yes,On-Premise,SCADA
Manufacturing,Medium,Low,Wireless,High,Yes,Cloud,AI/ML
Agriculture,High,Medium,Wireless,Low,No,Cloud,MQTT
Agriculture,Low,Medium,Wired,Medium,Yes,Cloud,AI/ML
Retail,Medium,Medium,Wireless,Low,No,Cloud,Blockchain
Healthcare,Medium,Low,Wireless,Medium,Yes,Cloud,AI/ML
Transportation,Medium,High,Wired,Medium,No,Edge,Edge Computing
Healthcare,High,Medium,Wireless,High,Yes,Cloud,Blockchain
Transportation,Low,High,Wireless,High,Yes,Edge,Edge Computing
Agriculture,High,Medium,Wired,High,Yes,On-Premise,MQTT
Energy,High,High,Wired,Low,Yes,Edge,Blockchain
Retail,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Healthcare,Medium,High,Wireless,High,No,On-Premise,Blockchain
Manufacturing,Medium,Medium,Wired,Medium,No,Edge,Edge Computing
Energy,Low,Medium,Wired,Low,Yes,On-Premise,MQTT
Healthcare,Low,Low,Wired,Low,Yes,Edge,SCADA
Energy,Medium,Low,Wireless,Low,No,Edge,Edge Computing
Retail,Low,Medium,Wireless,Low,Yes,On-Premise,Edge Computing
Retail,Low,High,Wireless,Medium,No,On-Premise,PLCs
Transportation,Low,High,Wired,Low,No,Edge,OPC UA
Manufacturing,Medium,Medium,Wired,Low,No,Cloud,SCADA
Retail,Low,Low,Wired,Medium,Yes,Edge,SCADA
Transportation,Low,High,Wired,Low,No,Edge,Cloud Computing
Healthcare,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Agriculture,Medium,High,Wired,Medium,No,Edge,Edge Computing
Energy,Medium,High,Wireless,Medium,Yes,Edge,Edge Computing
Transportation,Medium,Low,Wireless,High,No,On-Premise,AI/ML
Energy,High,Low,Wireless,Low,Yes,On-Premise,Cloud Computing
Transportation,High,Low,Wired,Low,No,Edge,SCADA
Healthcare,Low,High,Wireless,Medium,No,Cloud,AI/ML
Manufacturing,High,Medium,Wired,High,Yes,On-Premise,Cloud Computing
Transportation,High,Medium,Wired,Low,No,Edge,SCADA
Transportation,Medium,Medium,Wired,High,No,Edge,Edge Computing
Energy,Medium,Medium,Wired,High,Yes,Edge,Edge Computing
Manufacturing,Medium,Medium,Wired,High,No,Edge,Edge Computing
Healthcare,Medium,High,Wireless,Medium,Yes,On-Premise,PLCs
Transportation,High,Medium,Wireless,Low,No,On-Premise,SCADA
Agriculture,Medium,Medium,Wired,Medium,Yes,Cloud,Blockchain
Transportation,Low,Medium,Wired,Medium,No,Cloud,Edge Computing
Transportation,High,Low,Wireless,High,Yes,Edge,SCADA
Energy,High,Medium,Wired,High,Yes,Edge,Cloud Computing
Manufacturing,Low,Low,Wireless,Low,Yes,On-Premise,OPC UA
Retail,High,High,Wireless,Medium,No,On-Premise,MQTT
Retail,Low,High,Wired,Medium,No,On-Premise,AI/ML
Healthcare,High,Low,Wired,High,No,Cloud,Blockchain
Manufacturing,Low,Low,Wired,High,Yes,Cloud,SCADA
Retail,Medium,High,Wired,High,No,Cloud,Blockchain
Healthcare,Medium,Low,Wired,Low,Yes,Cloud,SCADA
Retail,Medium,Medium,Wireless,Medium,No,Edge,Edge Computing
Retail,High,Low,Wired,Medium,No,Edge,SCADA
Healthcare,Medium,High,Wired,High,Yes,Edge,Blockchain
Manufacturing,Medium,High,Wireless,Medium,Yes,Edge,Edge Computing
Retail,Medium,High,Wireless,Medium,No,Edge,Edge Computing
Manufacturing,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Agriculture,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Energy,Low,High,Wired,High,No,On-Premise,Edge Computing
Manufacturing,High,Low,Wireless,High,Yes,On-Premise,OPC UA
Retail,Low,Low,Wired,Medium,Yes,Cloud,SCADA
Healthcare,Low,Medium,Wireless,Medium,No,Cloud,Blockchain
Healthcare,High,Medium,Wired,High,Yes,On-Premise,Blockchain
Manufacturing,Medium,Low,Wireless,Medium,Yes,Edge,Edge Computing
Healthcare,Low,High,Wireless,Low,Yes,Edge,SCADA
Manufacturing,High,Low,Wired,Medium,Yes,Cloud,OPC UA
Agriculture,High,Medium,Wired,Low,No,Edge,Cloud Computing
Transportation,High,Medium,Wired,Low,No,Edge,OPC UA
Transportation,Low,High,Wired,High,Yes,On-Premise,Blockchain
Transportation,Medium,High,Wireless,Medium,No,Edge,Edge Computing
Agriculture,Medium,Medium,Wired,High,Yes,On-Premise,Blockchain
Retail,Medium,High,Wired,High,Yes,On-Premise,PLCs
Healthcare,High,Low,Wired,Medium,No,Edge,SCADA
Agriculture,High,Low,Wired,Medium,No,Edge,SCADA
Agriculture,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Healthcare,Low,High,Wired,Medium,Yes,Edge,SCADA
Healthcare,Low,Medium,Wired,Low,No,Cloud,PLCs
Transportation,Low,High,Wired,Medium,No,Cloud,Blockchain
Healthcare,High,Medium,Wired,Medium,Yes,On-Premise,Edge Computing
Energy,High,Low,Wired,Medium,Yes,Edge,SCADA
Retail,Low,Medium,Wireless,Low,Yes,On-Premise,AI/ML
Transportation,Low,High,Wireless,Medium,No,Cloud,MQTT
Energy,Medium,Low,Wireless,Medium,Yes,Edge,Edge Computing
Manufacturing,High,Medium,Wireless,High,Yes,Cloud,AI/ML
Manufacturing,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Healthcare,High,Low,Wired,High,No,Edge,Blockchain
Healthcare,Low,Medium,Wired,Low,No,Edge,OPC UA
Transportation,High,Medium,Wireless,Low,Yes,Edge,Edge Computing
Transportation,High,High,Wired,High,No,Edge,SCADA
Retail,Low,High,Wireless,Low,No,Cloud,SCADA
Agriculture,High,Low,Wireless,Low,Yes,Cloud,AI/ML
Retail,Low,Low,Wired,Low,No,Edge,SCADA
Energy,Low,Medium,Wireless,Medium,No,Cloud,AI/ML
Manufacturing,Low,High,Wired,Medium,Yes,On-Premise,AI/ML
Healthcare,Medium,Low,Wireless,High,Yes,Edge,Blockchain
Energy,Low,Medium,Wireless,Low,Yes,Cloud,Cloud Computing
Transportation,Low,Low,Wireless,High,No,Edge,Blockchain
Manufacturing,Low,High,Wired,Low,No,On-Premise,Edge Computing
Transportation,Low,Medium,Wired,High,Yes,Edge,Blockchain
Energy,Medium,High,Wired,Low,Yes,On-Premise,SCADA
Manufacturing,Low,Medium,Wireless,Low,Yes,On-Premise,SCADA
Manufacturing,Low,Low,Wired,Low,No,Edge,SCADA
Healthcare,Low,Medium,Wired,Medium,No,Cloud,Cloud Computing
Retail,High,High,Wired,High,No,Cloud,Edge Computing
Retail,High,Low,Wireless,High,No,Edge,PLCs
Healthcare,High,Low,Wireless,Medium,Yes,Cloud,AI/ML
Transportation,Low,High,Wired,High,Yes,Cloud,MQTT
Agriculture,Medium,High,Wireless,High,Yes,On-Premise,Blockchain
Healthcare,Low,Low,Wireless,Medium,No,Edge,MQTT
Retail,Low,Low,Wired,High,Yes,Cloud,SCADA
Agriculture,High,High,Wired,Medium,Yes,Edge,OPC UA
Retail,High,Low,Wireless,Low,Yes,Cloud,AI/ML
Retail,Medium,High,Wired,High,No,Cloud,OPC UA
Transportation,Medium,Low,Wireless,Medium,No,On-Premise,SCADA
Manufacturing,Medium,High,Wireless,High,No,On-Premise,SCADA
Manufacturing,Low,Medium,Wired,Low,No,Edge,Edge Computing
Healthcare,High,Medium,Wired,Medium,No,Cloud,SCADA
Agriculture,Low,Medium,Wired,Medium,No,On-Premise,Blockchain
Healthcare,High,Low,Wireless,Medium,No,Cloud,Edge Computing
Healthcare,Low,High,Wireless,Medium,No,Cloud,AI/ML
Retail,Medium,High,Wireless,High,Yes,Cloud,MQTT
Manufacturing,Low,Medium,Wired,Low,No,Cloud,SCADA
Retail,Low,Low,Wireless,Low,No,Edge,PLCs
Retail,Low,High,Wireless,High,Yes,On-Premise,OPC UA
Agriculture,Low,High,Wired,Medium,Yes,Edge,Blockchain
Energy,Medium,High,Wired,High,No,On-Premise,Blockchain
Manufacturing,Medium,Medium,Wired,Low,No,Cloud,Cloud Computing
Manufacturing,Low,Medium,Wired,High,Yes,On-Premise,AI/ML
Healthcare,High,Low,Wireless,High,No,On-Premise,Blockchain
Manufacturing,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Retail,High,High,Wireless,Low,No,Edge,AI/ML
Manufacturing,High,High,Wired,Low,No,On-Premise,PLCs
Healthcare,High,Low,Wired,Low,Yes,Cloud,AI/ML
Energy,Low,High,Wired,Medium,Yes,On-Premise,Edge Computing
Retail,High,High,Wired,Medium,No,Cloud,PLCs
Healthcare,Medium,Medium,Wired,Low,Yes,Cloud,Blockchain
Transportation,Low,High,Wired,Medium,No,Cloud,Edge Computing
Manufacturing,High,High,Wired,Medium,No,On-Premise,MQTT
Retail,Medium,Medium,Wired,High,No,Cloud,OPC UA
Transportation,High,High,Wired,Low,Yes,Edge,PLCs
Retail,High,High,Wired,Low,Yes,On-Premise,Edge Computing
Agriculture,High,High,Wired,Low,Yes,On-Premise,OPC UA
Retail,Medium,Low,Wired,Medium,No,Edge,SCADA
Manufacturing,Medium,Low,Wired,Medium,No,Cloud,SCADA
Retail,High,High,Wireless,High,No,Edge,PLCs
Energy,Medium,High,Wireless,Low,No,Edge,Edge Computing
Manufacturing,High,Low,Wired,Low,Yes,Edge,OPC UA
Transportation,Low,Low,Wired,High,Yes,Edge,SCADA
Energy,High,High,Wireless,High,No,On-Premise,SCADA
Transportation,Medium,High,Wired,Medium,Yes,Cloud,Edge Computing
Manufacturing,Medium,Low,Wireless,High,Yes,Edge,Edge Computing
Energy,Low,Low,Wired,High,Yes,Cloud,SCADA
Energy,High,Low,Wireless,Medium,No,Cloud,Edge Computing
Energy,Medium,High,Wired,Medium,Yes,Cloud,Blockchain
Manufacturing,Medium,Low,Wireless,Medium,No,On-Premise,SCADA
Manufacturing,High,Medium,Wireless,High,Yes,Edge,SCADA
Energy,Medium,Medium,Wireless,Medium,No,Edge,Edge Computing
Healthcare,Low,High,Wired,Low,Yes,Cloud,MQTT
Healthcare,Medium,Low,Wireless,High,Yes,Cloud,Blockchain
Retail,Low,High,Wired,Low,Yes,On-Premise,Cloud Computing
Manufacturing,Medium,Low,Wireless,Low,Yes,Cloud,Cloud Computing
Agriculture,High,Low,Wireless,Low,No,On-Premise,Blockchain
Healthcare,High,Medium,Wireless,Low,Yes,Cloud,AI/ML
Healthcare,Low,High,Wired,Medium,Yes,On-Premise,Cloud Computing
Transportation,High,Medium,Wired,Low,Yes,Edge,Edge Computing
Manufacturing,Medium,Low,Wireless,Medium,No,On-Premise,PLCs
Agriculture,High,High,Wireless,Medium,Yes,On-Premise,PLCs
Manufacturing,High,Low,Wired,High,Yes,Cloud,OPC UA
Retail,Medium,Low,Wired,Low,Yes,On-Premise,SCADA
Energy,Low,High,Wireless,Low,No,Cloud,OPC UA
Retail,High,Medium,Wireless,Low,Yes,On-Premise,MQTT
Retail,High,Medium,Wired,Low,No,Edge,Blockchain
Energy,Low,Medium,Wired,High,No,Edge,OPC UA
Retail,High,High,Wired,Low,Yes,Edge,Blockchain
Transportation,Medium,High,Wired,High,No,On-Premise,Edge Computing
Healthcare,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Energy,Medium,High,Wired,Medium,No,Cloud,SCADA
Agriculture,Low,Low,Wireless,Medium,Yes,On-Premise,AI/ML
Transportation,Medium,Medium,Wired,Medium,Yes,On-Premise,OPC UA
Healthcare,Medium,Low,Wireless,Medium,Yes,Cloud,PLCs
Transportation,Medium,Low,Wired,High,Yes,Cloud,SCADA
Retail,Medium,Medium,Wireless,Medium,No,On-Premise,Cloud Computing
Manufacturing,Low,High,Wired,Medium,Yes,Edge,PLCs
Transportation,High,High,Wired,Low,No,On-Premise,MQTT
Retail,Low,High,Wireless,High,No,Edge,Edge Computing
Energy,Low,High,Wired,Medium,No,Edge,Cloud Computing
Agriculture,Medium,Medium,Wired,High,Yes,Edge,Edge Computing
Manufacturing,Medium,High,Wireless,Medium,No,Cloud,SCADA
Retail,Low,High,Wireless,Low,Yes,On-Premise,Edge Computing
Healthcare,Low,Low,Wired,Low,No,On-Premise,SCADA
Manufacturing,High,Low,Wireless,Medium,No,Edge,OPC UA
Energy,High,Medium,Wireless,Low,Yes,Edge,SCADA
Retail,High,High,Wireless,High,No,Cloud,Edge Computing
Energy,Medium,Medium,Wireless,High,No,On-Premise,OPC UA
Retail,Medium,Low,Wireless,Low,No,On-Premise,Cloud Computing
Energy,Medium,Medium,Wired,Low,Yes,Cloud,PLCs
Manufacturing,High,High,Wireless,Medium,No,Edge,Blockchain
Agriculture,Low,Medium,Wireless,High,Yes,Edge,Edge Computing
Healthcare,Low,High,Wireless,Low,Yes,Edge,PLCs
Manufacturing,High,Low,Wireless,High,No,On-Premise,OPC UA
Energy,High,Medium,Wireless,Low,Yes,Cloud,AI/ML
Transportation,Low,High,Wireless,Medium,No,Edge,Edge Computing
Manufacturing,Low,High,Wired,Low,No,On-Premise,OPC UA
Healthcare,Low,Low,Wired,Medium,No,On-Premise,SCADA
Energy,High,High,Wired,High,Yes,Cloud,AI/ML
Agriculture,Low,Medium,Wired,High,No,Edge,PLCs
Agriculture,Medium,High,Wireless,High,No,On-Premise,PLCs
Manufacturing,Medium,Medium,Wireless,High,No,Cloud,SCADA
Energy,High,Low,Wireless,High,No,On-Premise,SCADA
Energy,Low,High,Wireless,High,No,Cloud,SCADA
Healthcare,Medium,Low,Wired,Medium,No,Cloud,SCADA
Healthcare,High,Low,Wired,Low,No,Cloud,SCADA
Energy,High,Low,Wired,High,No,Edge,SCADA
Manufacturing,Low,High,Wireless,Medium,No,Edge,Edge Computing
Energy,Low,Low,Wired,Low,Yes,Edge,SCADA
Retail,High,High,Wireless,Medium,No,On-Premise,PLCs
Healthcare,Medium,Medium,Wireless,Low,No,On-Premise,OPC UA
Transportation,Low,Medium,Wireless,Low,No,Cloud,MQTT
Retail,Low,High,Wireless,High,No,Cloud,PLCs
Retail,Low,Medium,Wireless,Low,No,Cloud,Edge Computing
Energy,High,Medium,Wired,High,No,Cloud,MQTT
Healthcare,Medium,Medium,Wired,Low,No,Cloud,MQTT
Transportation,Low,High,Wired,Medium,Yes,Cloud,MQTT
Transportation,Medium,High,Wired,Medium,Yes,On-Premise,OPC UA
Healthcare,High,High,Wireless,Medium,Yes,On-Premise,Edge Computing
Energy,High,Medium,Wireless,High,Yes,Cloud,AI/ML
Transportation,Low,Low,Wireless,Low,No,Edge,PLCs
Retail,Medium,Low,Wireless,Medium,No,Cloud,SCADA
Healthcare,Low,High,Wired,Low,No,On-Premise,SCADA
Transportation,High,Low,Wireless,Medium,Yes,On-Premise,Cloud Computing
Energy,High,Medium,Wireless,Low,No,Edge,Blockchain
Retail,High,Medium,Wired,Low,No,Edge,SCADA
Retail,High,High,Wireless,High,No,On-Premise,PLCs
Manufacturing,Medium,Low,Wired,High,No,Cloud,SCADA
Energy,Low,High,Wireless,High,No,Cloud,MQTT
Agriculture,Low,High,Wireless,Low,Yes,On-Premise,Blockchain
Energy,High,Medium,Wired,Medium,Yes,Cloud,AI/ML
Transportation,Medium,High,Wired,High,No,Cloud,Cloud Computing
Energy,High,High,Wired,Low,Yes,On-Premise,Cloud Computing
Energy,Low,High,Wireless,High,Yes,Cloud,Blockchain
Healthcare,High,Medium,Wired,Low,Yes,On-Premise,SCADA
Agriculture,Medium,High,Wired,High,Yes,Edge,Edge Computing
Energy,Low,Medium,Wireless,High,Yes,On-Premise,Edge Computing
Agriculture,Medium,Medium,Wireless,Low,Yes,On-Premise,Edge Computing
Healthcare,High,High,Wired,Medium,No,On-Premise,SCADA
Agriculture,Low,High,Wired,High,Yes,Cloud,PLCs
Manufacturing,Medium,Medium,Wired,Medium,Yes,On-Premise,PLCs
Transportation,Medium,Medium,Wireless,Low,Yes,Cloud,Cloud Computing
Transportation,Low,Medium,Wired,Medium,Yes,On-Premise,Blockchain
Agriculture,Medium,Low,Wireless,Medium,No,Edge,Edge Computing
Retail,Medium,Medium,Wired,Low,No,On-Premise,OPC UA
Healthcare,Low,High,Wireless,High,No,On-Premise,Blockchain
Energy,High,Low,Wireless,Low,Yes,Edge,Blockchain
Retail,Low,Medium,Wired,Low,Yes,Edge,SCADA
Agriculture,High,Medium,Wireless,Low,Yes,Cloud,AI/ML
Retail,High,Low,Wireless,High,Yes,Edge,SCADA
Agriculture,Low,Low,Wireless,High,No,Cloud,AI/ML
Transportation,Medium,Medium,Wireless,High,Yes,Cloud,Cloud Computing
Retail,Medium,Low,Wired,Medium,No,On-Premise,SCADA
Manufacturing,Low,Low,Wired,Low,Yes,Edge,SCADA
Manufacturing,Low,Medium,Wired,Medium,Yes,Cloud,OPC UA
Healthcare,High,Low,Wireless,Medium,Yes,On-Premise,SCADA
Manufacturing,Low,Medium,Wireless,High,Yes,Cloud,Edge Computing
Transportation,Low,Medium,Wireless,Low,No,On-Premise,PLCs
Transportation,Medium,Medium,Wired,Low,No,Edge,Edge Computing
Healthcare,Low,Medium,Wired,High,Yes,Edge,Blockchain
Transportation,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Retail,High,Low,Wired,Low,Yes,Cloud,AI/ML
Manufacturing,High,Medium,Wired,High,No,On-Premise,AI/ML
Healthcare,Low,High,Wired,Medium,Yes,Cloud,Edge Computing
Transportation,Medium,Medium,Wired,High,No,Edge,Edge Computing
Healthcare,Medium,High,Wireless,High,No,Cloud,Blockchain
Healthcare,Medium,High,Wired,Low,No,Edge,Edge Computing
Healthcare,High,Medium,Wired,Low,Yes,Cloud,AI/ML
Energy,Medium,Medium,Wireless,High,Yes,On-Premise,Blockchain
